long,lat,date,apn,address,city,zip,units
-118.32354,34.08904,2021-10-18T00:00:00Z,5534023015,6037  W ROMAINE  ST,Los Angeles,90038,2
-118.259413,34.026124,2019-02-12T00:00:00Z,5127005003,638  E 21ST  ST,Los Angeles,90011,2
-118.28724,34.25671,2016-05-24T00:00:00Z,,10327  N SAMOA  AVE,Los Angeles,,1
-118.208871,34.043476,2018-04-24T00:00:00Z,5180002029,2423  E 1ST  ST,Los Angeles,90033,2
-118.303285,34.049985,2018-12-12T00:00:00Z,5080026006,1127  S KINGSLEY  DR,Los Angeles,90006,2
-118.306996,34.055735,2005-04-01T00:00:00Z,,3420 W 9TH,Los Angeles,,10
-118.26738,34.02236,2020-01-22T00:00:00Z,5128002028,229  E 28TH  ST,Los Angeles,90011,2
-118.380807,34.056919,2017-03-22T00:00:00Z,,8664  W WHITWORTH  DR,Los Angeles,90035,7
-118.264531,34.003674,2018-11-05T00:00:00Z,4239003012,632  E VERNON  AVE,Los Angeles,90291,1
-118.3846,33.95005,2010-12-21T00:00:00Z,,5842 W 95TH ST,Los Angeles,90045,1
-118.31114,34.10246,2004-08-01T00:00:00Z,,1723 GARFIELD,Los Angeles,,4
-118.36296,34.07876,2014-09-25T00:00:00Z,,419 N HAYWORTH AVE,Los Angeles,90048,4
-118.29776,34.01511,2006-03-01T00:00:00Z,,1210 W 39TH,Los Angeles,,4
-118.27354,33.96429,2006-10-01T00:00:00Z,,8256 S MAIN,Los Angeles,,3
-118.3459,34.08583,2013-07-31T00:00:00Z,,820 N FORMOSA AVE,Los Angeles,90046,2
-118.460387,34.240462,2016-10-04T00:00:00Z,,9336  N LEMONA  AVE,Los Angeles,91343,2
-118.262389,34.010066,2018-11-05T00:00:00Z,5114008021,760  E 40TH  PL,Los Angeles,90011,2
-118.3052,34.03465,2019-10-02T00:00:00Z,5058022023,1869  W 24TH  ST,Los Angeles,90018,2
-118.470173,33.996968,2017-07-11T00:00:00Z,4240014030,619  S 6TH  AVE,Los Angeles,90291,2
-118.281431,33.966787,2017-08-21T00:00:00Z,6030032023,426  E 80TH  ST,Los Angeles,90003,2
-118.266427,33.979605,2018-09-17T00:00:00Z,6011013005,428  E 66TH  ST,Los Angeles,90003,2
-118.299338,34.014285,2003-04-01T00:00:00Z,,1267 W 39TH,Los Angeles,,5
-118.28955,33.98022,2019-10-02T00:00:00Z,6013013027,909  W 65TH  ST,Los Angeles,90044,2
-118.29703,34.06556,2016-04-06T00:00:00Z,,3551  W 5TH  ST,Los Angeles,,12
-118.2671,34.02296,2019-07-16T00:00:00Z,5128002016,232  E 27TH  ST,Los Angeles,90011,3
-118.45054,34.19594,2013-08-09T00:00:00Z,,6906 N VESPER AVE VAN NUYS,Los Angeles,91405,2
-118.470455,33.991905,2016-04-07T00:00:00Z,,1212  S ELECTRIC  AVE,Los Angeles,,2
-118.37496,34.1615,2004-11-01T00:00:00Z,,5025 N FAIR,Los Angeles,,5
-118.376002,34.159805,2005-04-01T00:00:00Z,,11238 W HUSTON,Los Angeles,,2
-118.277607,33.997519,2018-03-07T00:00:00Z,5110020022,241  W 50TH  ST,Los Angeles,90037,2
-118.27198,33.98087,2001-11-01T00:00:00Z,,155 E 65TH,Los Angeles,,4
-118.27908,33.99448,2006-06-01T00:00:00Z,,319 W 53RD,Los Angeles,,5
-118.32088,34.05259,2012-01-25T00:00:00Z,,1040 S NORTON AVE,Los Angeles,90019,5
-118.300933,34.046455,2014-09-22T00:00:00Z,,2717 W 14TH ST,Los Angeles,90006,1
-118.46581,33.984936,2016-12-28T00:00:00Z,,401  E HOWLAND  CL,Los Angeles,90291,2
-118.3024,34.02107,2019-04-03T00:00:00Z,5041019031,1471  W 37TH  ST,Los Angeles,90018,2
-118.432553,34.049728,2007-03-19T00:00:00Z,,1900 S SELBY AVE,Los Angeles,90025,8
-118.42026,34.0116,2015-12-15T00:00:00Z,,11309  W VENICE  BLVD,Los Angeles,90066,2
-118.321015,34.096941,2016-08-18T00:00:00Z,,1442  N TAMARIND  AVE,Los Angeles,90028,3
-118.310394,34.055725,2002-08-01T00:00:00Z,,3638 S 9TH,Los Angeles,,1
-118.331097,34.086474,2017-10-16T00:00:00Z,5533026024,843  N WILCOX  AVE,Los Angeles,90038,2
-118.285507,34.057868,2017-01-11T00:00:00Z,,2745  W 8TH  ST,Los Angeles,90005,3
-118.47901,33.99573,2003-01-01T00:00:00Z,,55 E ROSE,Los Angeles,,2
-118.29672,34.0248,2013-11-22T00:00:00Z,,1275 W 35TH ST,Los Angeles,90007,2
-118.247137,34.04569,2005-01-01T00:00:00Z,,221 S 5TH,Los Angeles,,2
-118.24859,33.77951,2005-03-01T00:00:00Z,,1117 E G,Los Angeles,,2
-118.36989,34.2092,2012-04-30T00:00:00Z,,7630   VINELAND AVE,Los Angeles,91352,2
-118.43441,34.00159,2002-03-01T00:00:00Z,,12506 PACIFIC,Los Angeles,,1
